Organization,Followed On
Hermès,Wed Jul 10 08:18:09 UTC 2019
Bridgestone Asia Pacific ,Wed Jul 10 08:17:12 UTC 2019
NCS Group,Wed Jul 10 08:16:43 UTC 2019
Infosys,Wed Jul 10 08:15:24 UTC 2019
RGF International Recruitment,Wed Jul 10 08:15:21 UTC 2019
Etiqa Insurance Singapore,Wed Jul 10 08:09:06 UTC 2019
HackerTrail - Recruitment Solutions,Mon Jul 08 07:24:10 UTC 2019
Holmusk,Mon Jul 08 07:24:09 UTC 2019
SGX Group,Mon Jul 08 07:05:58 UTC 2019
Nicoll Curtin,Mon Jul 08 07:05:36 UTC 2019
TradeGecko is now QuickBooks Commerce,Sat Jul 06 10:41:49 UTC 2019
Igloo,Tue Jul 02 02:21:51 UTC 2019
Product Management Festival,Sun Jun 30 11:15:47 UTC 2019
Digital Commerce Intelligence,Wed Jun 26 01:31:22 UTC 2019
ConnectOne,Sun May 19 09:50:54 UTC 2019
Touché,Sun May 19 09:48:32 UTC 2019
KPMG Singapore,Sun May 19 09:48:23 UTC 2019
dé VakantieDiscounter,Sun May 19 07:03:53 UTC 2019
Yolt,Sun May 19 07:03:43 UTC 2019
Roche Diabetes Care,Sun May 19 07:03:25 UTC 2019
Datasearch Consulting,Sun May 19 07:02:34 UTC 2019
Quadrant.io (exited to Appen ASX:APX),Sun May 19 07:02:04 UTC 2019
FP Global,Sun May 19 07:01:54 UTC 2019
Real,Sun May 19 07:01:22 UTC 2019
SATS Ltd.,Sun May 19 06:59:13 UTC 2019
AsiaCollect,Sun May 19 06:58:43 UTC 2019
Charterhouse Asia,Sun May 19 06:58:32 UTC 2019
Samsung Electronics,Sun May 19 06:58:13 UTC 2019
CashShield,Sun May 19 06:58:02 UTC 2019
ADVANCE.AI,Sun May 19 06:57:23 UTC 2019
Ripple,Tue Apr 23 07:17:53 UTC 2019
Sephora SEA,Tue Apr 23 06:58:54 UTC 2019
Coda,Tue Apr 23 06:50:50 UTC 2019
Snaphunt,Tue Apr 16 22:57:55 UTC 2019
Amaris Consulting,Tue Apr 16 22:57:35 UTC 2019
Tameson,Wed Apr 10 03:32:05 UTC 2019
Mastercard,Wed Apr 10 03:24:37 UTC 2019
Uniserver,Mon Apr 08 03:56:38 UTC 2019
Mediacorp Pte Ltd,Mon Apr 08 03:01:02 UTC 2019
Pacific Talent Partners,Thu Apr 04 06:38:55 UTC 2019
"The Renaissance Network, Inc.",Thu Apr 04 03:23:15 UTC 2019
Verra Mobility,Thu Apr 04 03:21:54 UTC 2019
ING,Thu Apr 04 03:21:14 UTC 2019
M1 Limited,Wed Apr 03 07:34:40 UTC 2019
Savvy,Mon Apr 01 05:08:21 UTC 2019
Beam Mobility,Wed Mar 27 01:21:13 UTC 2019
The Trade Desk,Wed Mar 27 01:16:36 UTC 2019
Grab,Wed Feb 13 01:17:31 UTC 2019
ASUS,Wed Feb 13 01:17:11 UTC 2019
Alibaba Group,Wed Jan 23 12:16:45 UTC 2019
Airbnb,Wed Jan 23 01:33:29 UTC 2019
Coty,Thu Aug 16 03:13:07 UTC 2018
Klook,Thu Aug 09 04:22:13 UTC 2018
Kerry Consulting,Tue Jul 03 14:51:34 UTC 2018
ST Engineering,Fri Jun 01 12:37:07 UTC 2018
Panalpina,Tue May 29 14:43:49 UTC 2018
Digitas Singapore,Sun May 27 15:33:46 UTC 2018
Celestica,Sat May 26 15:38:08 UTC 2018
Adore Beauty Group,Mon May 21 12:27:57 UTC 2018
Signify,Tue May 15 15:29:19 UTC 2018
SEPHORA,Tue Jan 10 11:46:03 UTC 2023
Samsung Mobile,Tue Jan 09 15:23:40 UTC 2018
Kraken Digital Asset Exchange,Thu Jan 04 06:49:37 UTC 2018
Worldpanel by Kantar,Tue Oct 10 09:59:06 UTC 2017
ZALORA Group,Sat Jul 29 11:43:24 UTC 2017
antuit.ai,Wed Jul 05 13:56:09 UTC 2017
Publicis Media,Wed Jul 05 13:55:49 UTC 2017
AirAsia,Wed Jul 05 13:54:49 UTC 2017
Rotimatic,Wed Jul 05 13:54:39 UTC 2017
Confidential.,Sun Jun 25 15:19:52 UTC 2017
ST Aerospace,Thu Jun 22 13:37:45 UTC 2017
Access World Logistics (Singapore) Pte Ltd,Mon Jun 12 12:21:15 UTC 2017
Translations.com,Thu Jun 01 15:33:08 UTC 2017
Litmus Group,Thu Jun 01 15:10:23 UTC 2017
Nielsen,Wed May 31 02:12:23 UTC 2017
Criteo,Tue May 30 22:23:45 UTC 2017
HOOQ,Tue May 30 22:22:55 UTC 2017
SIX,Tue May 30 16:03:53 UTC 2017
ECU Worldwide,Mon May 29 15:27:30 UTC 2017
Newton Chase,Mon May 29 07:18:16 UTC 2017
TRANQUINI,Thu May 25 04:25:03 UTC 2017
Rakuten Viki,Wed May 24 22:45:18 UTC 2017
Astek,Tue May 23 14:53:29 UTC 2017
data.ai (by Sensor Tower),Tue May 23 14:50:07 UTC 2017
eClerx,Tue May 23 13:37:25 UTC 2017
Aviva,Fri May 19 08:06:45 UTC 2017
Benefit Cosmetics,Fri May 19 00:57:37 UTC 2017
PropertyGuru Group,Thu May 18 05:57:41 UTC 2017
DHL eCommerce,Thu May 18 05:56:21 UTC 2017
Silicon Labs,Thu May 18 05:56:01 UTC 2017
NetApp,Wed Apr 26 04:43:13 UTC 2017
Hainan Airlines,Tue Apr 25 02:30:18 UTC 2017
Pactera,Tue Apr 25 02:30:08 UTC 2017
Republic World,Mon Apr 17 05:33:02 UTC 2017
Cornell Johnson Graduate School of Management,Tue Feb 07 00:52:23 UTC 2017
HackerRank,Mon Feb 06 10:41:09 UTC 2017
Wincor Nixdorf,Tue Jan 17 15:52:22 UTC 2017
Lexia Analytics,Tue Jan 17 15:50:41 UTC 2017
Visenti Pte Ltd,Tue Jan 17 15:44:56 UTC 2017
PwC Singapore,Mon Jan 16 10:48:12 UTC 2017
DHL Supply Chain,Tue Jan 10 16:11:06 UTC 2017
Shopee,Tue Jan 10 16:08:44 UTC 2017
WeCash,Tue Jan 10 15:56:06 UTC 2017
Walker Andersen,Tue Jan 10 15:55:26 UTC 2017
Alipay,Tue Jan 10 15:05:32 UTC 2017
Adecco,Tue Dec 27 21:05:06 UTC 2016
Easyship,Wed Dec 21 09:47:16 UTC 2016
OfBusiness,Tue Dec 20 08:21:32 UTC 2016
PSG College of Technology,Wed Dec 07 17:23:50 UTC 2016
TBS Education,Wed Dec 07 11:00:13 UTC 2016
Coimbatore Institute of Technology,Wed Dec 07 03:05:24 UTC 2016
Nanyang Technological University Singapore,Thu Sep 08 06:55:04 UTC 2016
Kuehne Logistics University,Thu Sep 08 02:18:57 UTC 2016
Rensselaer Polytechnic Institute,Sat Sep 03 23:01:22 UTC 2016
Stanford University,Sat Sep 03 18:22:15 UTC 2016
INACTIVE: Cornell University - Johnson Graduate School of Management,Sat Sep 03 18:22:15 UTC 2016
Brock University,Thu Sep 01 15:31:45 UTC 2016
CaterSpot,Sun Aug 21 05:35:02 UTC 2016
Gates Corporation,Sun Aug 21 05:32:42 UTC 2016
Kinnevik,Tue Jul 26 13:04:28 UTC 2016
Thomson Reuters,Fri Jul 01 07:01:10 UTC 2016
The Wall Street Journal,Fri Jul 01 07:01:06 UTC 2016
TechCrunch,Fri Jul 01 07:01:05 UTC 2016
National Geographic,Fri Jul 01 07:01:04 UTC 2016
TIME,Fri Jul 01 07:01:03 UTC 2016
Zalando,Tue Jun 28 13:07:38 UTC 2016
Rocket Internet SE,Tue Jun 28 13:07:22 UTC 2016
Salesforce,Tue Jun 28 12:04:01 UTC 2016
Global Fashion Group,Mon Jul 25 15:43:04 UTC 2016
Performance Labs.,Thu Jun 02 23:45:12 UTC 2016
Lamoda Group,Tue Apr 26 10:30:34 UTC 2016
Entegris,Wed Mar 23 03:50:12 UTC 2016
Asurion,Tue Mar 15 12:18:12 UTC 2016
Argyll Scott Singapore (formerly REED Singapore),Mon Mar 14 12:38:03 UTC 2016
Louis Dreyfus Company,Mon Mar 14 08:26:51 UTC 2016
Sabre Corporation,Mon Mar 14 05:47:12 UTC 2016
Watsons Singapore,Mon Mar 14 05:46:52 UTC 2016
Aspect Software,Sat Mar 12 05:06:00 UTC 2016
Airswift,Fri Mar 11 13:52:13 UTC 2016
Resorts World Sentosa,Fri Mar 11 13:44:06 UTC 2016
Speedcast,Fri Mar 11 06:19:55 UTC 2016
Lunos,Fri Mar 11 03:53:33 UTC 2016
Leica Microsystems,Fri Mar 11 03:52:32 UTC 2016
Zebra Technologies,Thu Mar 10 14:04:52 UTC 2016
eyos.one,Thu Mar 10 12:30:22 UTC 2016
NAKAMA (acquired by Sanderson Plc),Thu Mar 10 12:29:52 UTC 2016
Marall Services,Thu Mar 10 03:12:59 UTC 2016
KU Leuven,Tue Mar 08 09:25:57 UTC 2016
Imperial College London,Tue Mar 08 09:25:56 UTC 2016
Tyco,Tue Mar 08 08:59:40 UTC 2016
Barclays Wealth Management,Tue Mar 08 08:02:49 UTC 2016
Hitachi Data Systems,Tue Mar 08 07:57:46 UTC 2016
Orange,Tue Mar 08 07:12:32 UTC 2016
Keller Foundations (S E Asia) Pte Ltd,Mon Mar 07 05:05:25 UTC 2016
Tesla,Thu Mar 03 15:48:46 UTC 2016
EPS Consultants Group,Thu Mar 03 15:44:02 UTC 2016
Tessa Therapeutics Ltd,Sat Feb 27 08:46:22 UTC 2016
Boeing Asia Pacific Aviation Services Pte Ltd,Mon Feb 22 15:00:37 UTC 2016
Mirae Asset Global Investments,Sun Feb 21 02:47:18 UTC 2016
Capgemini,Wed Feb 17 07:27:02 UTC 2016
Oracle,Wed Feb 17 07:20:40 UTC 2016
APRIL,Tue Feb 16 13:29:54 UTC 2016
SAP,Tue Feb 09 08:49:52 UTC 2016
CEVA Logistics,Tue Feb 09 08:49:50 UTC 2016
DataCamp,Sat Feb 06 11:44:07 UTC 2016
Marina Bay Sands,Sun Jan 31 15:40:19 UTC 2016
Shell Infotech,Sun Jan 31 10:34:35 UTC 2016
Essilor Group,Sun Jan 31 10:34:15 UTC 2016
Dell EMC,Sun Jan 31 10:33:54 UTC 2016
Seagate Technology,Sun Jan 31 10:33:15 UTC 2016
FUCHS Lubricants India & Southeast Asia,Sun Jan 31 04:55:35 UTC 2016
Vita Coco,Sun Jan 31 04:54:36 UTC 2016
Novartis,Fri Jan 29 23:43:02 UTC 2016
Abbott,Fri Jan 29 23:40:51 UTC 2016
Infor,Fri Jan 29 09:07:22 UTC 2016
Sea,Fri Jan 29 05:15:35 UTC 2016
Bosch ASEAN,Thu Jan 28 15:53:09 UTC 2016
ASMPT Ltd,Thu Jan 28 15:52:39 UTC 2016
The Estée Lauder Companies Inc.,Thu Jan 28 14:35:42 UTC 2016
Mondelēz International,Thu Jan 28 03:15:25 UTC 2016
UL Solutions,Wed Jan 27 15:14:43 UTC 2016
AbbVie,Wed Jan 27 15:06:09 UTC 2016
DB Schenker Singapore,Wed Jan 27 15:05:49 UTC 2016
Harley-Davidson Motor Company,Wed Jan 27 15:04:18 UTC 2016
Philips Lighting,Wed Jan 27 15:03:48 UTC 2016
Kulicke & Soffa,Wed Jan 27 14:58:56 UTC 2016
Levi Strauss & Co.,Fri Jan 22 03:36:10 UTC 2016
Philips Health Systems North America,Fri Jan 22 03:35:30 UTC 2016
Kelly,Fri Jan 22 03:23:58 UTC 2016
Symbiosis Institute of Business Management Pune,Tue Jan 12 09:23:01 UTC 2016
HP,Wed Oct 28 00:33:05 UTC 2015
Harvard Business Review,Sat Sep 19 13:46:46 UTC 2015
Google,Sat Sep 19 13:46:44 UTC 2015
Huawei,Sat Sep 19 13:46:43 UTC 2015
Bolloré Logistics,Sat Sep 19 13:46:42 UTC 2015
NUS Think Business,Sat Sep 19 13:45:44 UTC 2015
TED Conferences,Sat Sep 19 13:45:43 UTC 2015
Hewlett Packard Enterprise,Sat Sep 19 13:45:42 UTC 2015
Fast Company,Sat Sep 19 13:45:41 UTC 2015
KPMG,Sat Sep 19 13:45:36 UTC 2015
INFund,Sat Sep 19 13:45:33 UTC 2015
GovTech Singapore,Sat Sep 19 13:45:32 UTC 2015
Massachusetts Institute of Technology,Sat Sep 19 13:45:31 UTC 2015
1st Call Consulting,Sat Sep 19 13:45:24 UTC 2015
Accenture,Sat Sep 19 13:45:22 UTC 2015
Qlik,Sat Sep 19 13:45:20 UTC 2015
"A*STAR - Agency for Science, Technology and Research",Sat Sep 19 13:45:19 UTC 2015
TechTarget Business Technology,Sat Sep 19 13:45:16 UTC 2015
World Economic Forum,Sat Sep 19 13:45:14 UTC 2015
Soliton Technologies,Mon Aug 24 04:17:06 UTC 2015
Li & Fung,Fri Aug 21 09:17:14 UTC 2015
"Demand Management, Inc. (Demand Solutions)",Thu Aug 06 12:32:31 UTC 2015
AeroLogic,Thu Aug 06 12:32:15 UTC 2015
Freshworks,Mon Aug 03 03:09:41 UTC 2015
Adecco Singapore,Sun Apr 26 15:16:47 UTC 2015
Bata Group,Wed Mar 25 11:18:05 UTC 2015
Flipkart,Mon Mar 09 12:24:47 UTC 2015
NTT DATA Supply Chain Consulting,Tue Feb 03 16:08:33 UTC 2015
the LEGO Group,Sun Feb 01 09:43:22 UTC 2015
Curvature,Sat Jan 31 03:53:20 UTC 2015
Kantar Worldpanel UK and Ireland,Fri Jan 23 17:18:48 UTC 2015
Lazada,Sat Jan 10 18:15:06 UTC 2015
Randstad Singapore,Thu Dec 11 07:08:58 UTC 2014
Visa,Mon Dec 08 13:55:50 UTC 2014
Quantium Solutions,Sat Dec 06 12:49:48 UTC 2014
Singapore Post,Sat Dec 06 12:48:06 UTC 2014
Total Logistics (part of Accenture),Sat Dec 06 10:33:11 UTC 2014
aCommerce,Fri Dec 05 07:56:46 UTC 2014
Cargobase,Fri Dec 05 06:09:56 UTC 2014
Bain & Company,Wed Dec 03 09:41:36 UTC 2014
Euromonitor International,Wed Dec 03 09:26:05 UTC 2014
Micron Technology,Sat Nov 29 03:29:33 UTC 2014
"SP Jain School of Global Management - Dubai, Mumbai, Singapore & Sydney",Tue Sep 30 02:54:49 UTC 2014
NUS Business School,Tue Sep 30 02:54:47 UTC 2014
Citadel Search,Wed Sep 10 06:42:30 UTC 2014
Rakuten Asia Pte Ltd,Wed Sep 03 06:55:03 UTC 2014
"Dragonfly, LLC",Wed Sep 03 06:54:23 UTC 2014
Amazon,Mon Aug 18 03:00:01 UTC 2014
D-SIMLAB Technologies,Tue Aug 12 04:44:04 UTC 2014
Kuehne+Nagel,Tue Aug 12 04:44:02 UTC 2014
Swire Pacific Offshore,Mon Jul 28 03:34:18 UTC 2014
GROHE,Mon Jul 28 02:56:58 UTC 2014
Spring Engineering,Mon Jul 14 03:36:54 UTC 2014
Microsoft,Sat Jun 07 03:06:07 UTC 2014
DHL,Mon Jun 02 04:45:43 UTC 2014
RS,Mon Jun 02 03:43:11 UTC 2014
Corning Incorporated (Asia Region),Thu May 29 02:20:14 UTC 2014
RedMart,Tue May 27 14:54:16 UTC 2014
Avaya,Fri May 09 05:42:36 UTC 2014
LinkedIn,Fri May 02 01:02:56 UTC 2014
Aztec Exchange,Sun Apr 27 16:31:15 UTC 2014
Unilever,Sun Apr 27 15:48:21 UTC 2014
Procter & Gamble,Sun Apr 27 15:46:32 UTC 2014
Autodesk,Fri Apr 25 12:36:43 UTC 2014
Apple,Fri Apr 25 09:33:49 UTC 2014
"SHRW, LLC",Wed Apr 23 17:03:00 UTC 2014
DSM,Wed Apr 23 16:57:58 UTC 2014
Royal IHC,Wed Apr 23 16:54:34 UTC 2014
Thales Cyber and Digital ,Wed Apr 23 16:54:31 UTC 2014
McKinsey & Company,Wed Apr 23 16:54:28 UTC 2014
SLB,Wed Apr 23 00:17:09 UTC 2014
PSA Singapore,Tue Apr 22 02:28:56 UTC 2014
Vance Group Ltd.,Tue Apr 22 02:10:14 UTC 2014
The HEINEKEN Company,Tue Apr 22 02:08:34 UTC 2014
ECCO,Tue Apr 22 01:43:21 UTC 2014
Ware Technology Services,Mon Mar 31 14:09:41 UTC 2014
219 Design,Mon Mar 31 14:09:39 UTC 2014
PE-Services,Mon Mar 31 14:09:37 UTC 2014
"Abel & Skovgård Larsen, Advokatfirma",Mon Mar 31 14:09:30 UTC 2014
Enerfab Midwest (Formerly Foley Company),Mon Mar 31 14:08:54 UTC 2014
Larsen Engineers,Mon Mar 31 14:08:52 UTC 2014
RHEAUME ENGINEERING INC.,Mon Mar 31 14:08:08 UTC 2014
Allied Engineering,Mon Mar 31 14:08:06 UTC 2014
Simpson Kotzman,Mon Mar 31 14:08:05 UTC 2014
Key Technical Solutions,Mon Mar 31 14:08:03 UTC 2014
L&T-Sargent & Lundy Limited,Mon Mar 31 14:08:01 UTC 2014
KDDL Limited,Mon Mar 31 14:08:00 UTC 2014
National University,Mon Mar 31 14:07:11 UTC 2014
PMech Consultant Pvt. Ltd,Mon Mar 31 14:07:10 UTC 2014
L&T Construction,Mon Mar 31 14:07:08 UTC 2014
Griffon Marine Ltd,Mon Mar 31 14:07:05 UTC 2014
Dyson,Mon Mar 31 07:38:27 UTC 2014
Adani Power,Sat Mar 29 03:49:06 UTC 2014
FLSmidth,Sat Mar 29 03:49:03 UTC 2014
Spring Professional,Fri Mar 28 03:49:57 UTC 2014
Michelman,Fri Mar 28 03:49:55 UTC 2014
Flex,Fri Mar 28 03:49:53 UTC 2014
Randstad,Fri Mar 28 03:49:51 UTC 2014
DN & Associates Executive Search Pte Ltd | HEADHUNTER ,Fri Mar 28 03:49:50 UTC 2014
"Stanley Black & Decker, Inc.",Fri Mar 28 03:49:48 UTC 2014
HTC,Fri Mar 28 03:49:46 UTC 2014
Gate Gourmet,Fri Mar 28 03:49:41 UTC 2014
GlobalFoundries,Fri Mar 28 03:49:39 UTC 2014
Singtel,Fri Mar 28 03:49:38 UTC 2014
Infineon Technologies,Fri Mar 28 03:49:37 UTC 2014
Dell,Fri Mar 28 03:49:31 UTC 2014
Caterpillar Inc.,Fri Mar 28 03:49:30 UTC 2014
Ecolab,Fri Mar 28 03:49:29 UTC 2014
Spearing Search Pte Limited,Fri Mar 28 03:49:27 UTC 2014
Baxter International Inc.,Fri Mar 28 03:49:26 UTC 2014
Waters Corporation,Fri Mar 28 03:49:24 UTC 2014
UPS Supply Chain Solutions,Fri Mar 28 03:49:22 UTC 2014
invalid889118,Fri Jul 04 11:05:22 UTC 2014
DB Schenker,Fri Mar 21 16:01:14 UTC 2014
Ford Motor Company,Mon Mar 10 04:13:21 UTC 2014
Rockwell Collins,Mon Mar 10 04:08:21 UTC 2014
Honeywell Aerospace Technologies,Mon Mar 10 04:07:29 UTC 2014
Samsung Mobile,Thu Mar 06 00:13:33 UTC 2014
Empower Contracting,Wed Mar 05 15:40:12 UTC 2014
Start-Up@Singapore,Wed Mar 05 15:40:09 UTC 2014
Ethos Engineering,Wed Mar 05 15:40:05 UTC 2014
Tractor India Private Limited,Wed Mar 05 15:40:02 UTC 2014
NSSL LTD.,Wed Mar 05 15:39:59 UTC 2014
Larsen & Shaw Limited,Wed Mar 05 15:39:57 UTC 2014
TOTAL Oil Asia Pacific Marketing & Services,Tue Mar 04 00:42:15 UTC 2014
National University of Singapore,Fri Feb 28 12:54:44 UTC 2014