Login Date,IP Address,User Agent,Login Type
Sun Sep 03 16:36:39 UTC 2023,79.140.117.4,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",Login
Sat Oct 14 09:45:32 UTC 2023,79.140.117.123,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",Login
Sat Oct 14 13:46:06 UTC 2023,79.140.117.123,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.870 samsung_SM-G975F:android_12,Login
Tue Oct 24 16:23:20 UTC 2023,106.51.190.198,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",Login
Sat Dec 16 17:35:18 UTC 2023,79.140.115.213,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Sat Dec 16 17:35:20 UTC 2023,79.140.115.213,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Sun Dec 17 09:49:40 UTC 2023,79.140.115.141,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Wed Dec 27 14:57:55 UTC 2023,79.140.117.93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Wed Dec 27 15:51:37 UTC 2023,79.140.117.93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Mon Jan 01 12:28:45 UTC 2024,79.140.117.102,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Thu Jan 04 14:05:30 UTC 2024,79.140.117.169,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Tue Jan 09 13:14:02 UTC 2024,79.140.115.26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Tue Jan 09 13:14:07 UTC 2024,79.140.115.26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Thu Jan 11 09:13:32 UTC 2024,79.140.117.108,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Sun Jan 21 22:31:20 UTC 2024,79.140.115.112,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Sun Jan 21 22:31:33 UTC 2024,79.140.115.112,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Mon Feb 05 10:19:18 UTC 2024,79.140.117.102,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Mon Feb 05 13:01:02 UTC 2024,79.140.117.102,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Tue Feb 06 10:37:22 UTC 2024,79.140.117.161,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Tue Feb 06 10:37:28 UTC 2024,79.140.117.161,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Wed Feb 07 17:12:06 UTC 2024,79.140.117.171,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Wed Feb 07 17:12:12 UTC 2024,79.140.117.171,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Mon Feb 12 22:03:40 UTC 2024,79.140.117.196,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Mon Feb 12 22:03:46 UTC 2024,79.140.117.196,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Sat Feb 17 17:24:44 UTC 2024,79.140.117.212,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.909.1 samsung_SM-S926B:android_14,Login
Tue Feb 27 08:30:07 UTC 2024,79.140.117.177,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Login
Tue Feb 27 08:30:12 UTC 2024,79.140.117.177,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Login
Sun Mar 03 17:02:22 UTC 2024,79.140.115.159,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Login
Mon Mar 04 11:42:46 UTC 2024,79.140.117.24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Login
Mon Mar 04 12:05:53 UTC 2024,79.140.117.24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Login
Mon Mar 04 12:10:20 UTC 2024,79.140.117.24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Login
Tue Mar 05 12:35:01 UTC 2024,79.140.115.159,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Login
Thu Mar 07 10:24:31 UTC 2024,79.140.117.231,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Login
Thu Mar 07 13:57:43 UTC 2024,2a00:20:6049:5c94:688e:62f3:9613:a846,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Login
Sat Mar 09 22:17:33 UTC 2024,79.140.115.94,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Login
Sat Mar 09 22:17:42 UTC 2024,79.140.115.94,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Login
Thu Mar 14 16:43:12 UTC 2024,79.140.115.116,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Login
Wed Apr 03 14:27:01 UTC 2024,2a00:20:6082:f64e:dce7:87ec:bb01:559b,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Login
Wed Apr 03 14:27:02 UTC 2024,2a00:20:6082:f64e:dce7:87ec:bb01:559b,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Login
Fri Apr 05 20:56:55 UTC 2024,79.140.115.11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",Login
Sat Apr 06 07:47:39 UTC 2024,79.140.117.120,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Login
Sat Apr 06 07:47:40 UTC 2024,79.140.117.120,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Login
Sat Apr 06 08:32:22 UTC 2024,79.140.117.120,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",Login
Sat Apr 06 13:28:34 UTC 2024,79.140.117.120,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",Login
Mon Apr 08 11:51:15 UTC 2024,79.140.117.54,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Login
Mon Apr 08 11:51:15 UTC 2024,79.140.117.54,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Login
Sat Apr 13 22:02:25 UTC 2024,79.140.117.132,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Login
Sat Apr 13 22:02:36 UTC 2024,79.140.117.132,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Login
Sat Apr 13 22:02:37 UTC 2024,79.140.117.132,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Login
Sat Apr 13 22:02:48 UTC 2024,79.140.117.132,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Login
Sat Apr 13 22:02:48 UTC 2024,79.140.117.132,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Login
Sat Apr 13 22:05:16 UTC 2024,79.140.117.132,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",Login
Sat Apr 13 22:05:16 UTC 2024,79.140.117.132,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",Login
Sat Apr 13 22:05:26 UTC 2024,79.140.117.132,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",Login
Mon Apr 15 06:40:58 UTC 2024,2a00:20:600a:6c5f:5ee5:6d8e:ec8d:6300,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",Login
Mon Apr 15 06:40:59 UTC 2024,2a00:20:600a:6c5f:5ee5:6d8e:ec8d:6300,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",Login
Wed Apr 24 09:40:17 UTC 2024,79.140.117.35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Login
Tue Apr 30 10:46:55 UTC 2024,79.140.115.93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Login
Tue Apr 30 10:47:00 UTC 2024,79.140.115.93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Login
Fri Jul 05 20:19:15 UTC 2024,2003:ca:570a:26c1:1019:4ed2:11fe:4b0c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",Login
Sun Dec 08 14:59:17 UTC 2024,2003:ca:5700:d9c5:c0b6:3fd3:e327:824d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Sun Dec 08 14:59:19 UTC 2024,2003:ca:5700:d9c5:c0b6:3fd3:e327:824d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Wed Apr 30 04:03:40 UTC 2025,2003:ca:5702:cce0:c5b:75fc:aa9:a28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Login
