Date,Type,Link
2025-06-18 07:13:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340993052146135040
2025-06-11 10:24:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7338480730542350336
2025-06-11 06:51:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7338392514573291520
2025-06-10 06:54:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7338090515873091584
2025-06-05 16:26:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7336414783434338304
2025-06-04 06:49:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7335803246881525761
2025-05-27 19:13:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7333067636693536771
2025-05-23 06:29:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7331564509829980160
2025-05-16 09:28:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7329055747395256320
2025-05-09 10:31:39,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7326527317004955648
2025-05-08 06:20:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7326054626087055360
2025-05-02 07:34:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7323949699936194561
2025-05-01 05:48:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7323549247788777472?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7323549247788777472%2C7323562098951671808%29
2025-04-26 11:39:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7320964982848847872
2025-04-23 09:36:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7320348777846923264
2025-04-19 07:05:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7318799867189829632
2025-04-11 05:13:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7316267498314559488
2025-04-07 05:03:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7314814184376963073
2025-04-03 01:56:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7313341406637346819
2025-04-02 11:30:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7312943348342824960
2025-04-01 18:33:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7312904469476708353
2025-04-01 12:37:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7312715456748924928
2025-03-27 02:00:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7310454192094027778
2025-03-21 04:46:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7304400180454334464
2025-03-20 04:46:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7308344350776692737
2025-03-18 10:24:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7307678962736898048
2025-03-11 13:53:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7305120380279488513?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7305120380279488513%2C7305173725300023296%29
2025-03-04 15:16:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7302688953806061568
2025-02-26 07:27:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7300412102966427649
2025-02-26 07:26:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7300394764644823040
2025-02-20 15:10:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7298189635896098817
2025-02-17 19:46:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7297319572972462080
2025-02-15 11:51:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7290320787163566080
2025-02-13 08:57:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7295699128829759488
2025-02-05 09:10:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7292822086266368000
2025-02-01 07:18:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7291137163398656000
2025-01-28 19:05:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7290072039019687936
2025-01-27 19:17:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7289462130968276992
2025-01-24 11:19:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7288510856756137984
2025-01-20 09:02:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7287006598948892672
2025-01-20 05:55:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7285615605477470208
2025-01-17 20:37:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7286091168705048578
2025-01-15 03:42:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7284558694577504256
2025-01-15 03:41:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7285058441314779137
2025-01-10 14:33:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7283448563051683840
2025-01-10 14:31:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7283421063131082752
2025-01-07 06:02:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7282251162265833472
2024-12-23 06:06:56,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7276825369834373120
2024-12-16 10:14:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7274336979075416064
2024-12-10 19:19:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7272135288158654464
2024-12-07 10:31:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7270871852531490817
2024-11-27 10:34:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7267420052247711744
2024-11-20 09:00:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7264358601475915776
2024-11-15 18:49:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7263252350964781056
2024-11-10 20:54:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7260443516370059264
2024-10-28 21:19:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7256649679872929792
2024-10-22 04:04:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7254079542737203201
2024-10-18 20:25:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7252996490166419456
2024-10-15 19:45:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7251976099335696385
2024-10-15 16:55:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7251990315656519680
2024-10-13 17:36:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7251262731469623296
2024-10-09 11:18:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7249732075539349504
2024-10-09 08:55:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7249672816311054336
2024-10-07 06:32:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7248927255446355968
2024-10-02 18:55:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7247232354660835329
2024-10-01 14:56:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7246870275084926976
2024-09-30 08:02:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7246405579483537409
2024-09-24 20:39:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7244392856482639874
2024-09-21 18:46:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7243319931512004609
2024-09-17 05:44:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7241597301398405120
2024-09-12 12:58:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7239976263614877696
2024-09-08 20:28:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7238632884348051456
2024-09-05 11:53:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7237402616241033217
2024-09-05 11:01:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7237408251993108480
2024-09-04 18:07:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7237126569364705280
2024-09-04 12:39:52,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7236679102932348928?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7236679102932348928%2C7236682696318431232%29
2024-09-04 12:39:47,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7236679102932348928?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7236679102932348928%2C7236681245475127296%29
2024-09-04 12:06:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7236679102932348928?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7236679102932348928%2C7236717739002753025%29
2024-09-04 12:06:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7236679102932348928?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7236679102932348928%2C7236724752491450369%29
2024-09-04 12:04:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7236679102932348928?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7236679102932348928%2C7236775119442898945%29
2024-09-04 12:04:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7236679102932348928?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7236679102932348928%2C7236702400168783872%29
2024-09-04 12:03:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7236679102932348928?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7236679102932348928%2C7236803140044357632%29
2024-09-04 12:03:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7236679102932348928?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7236679102932348928%2C7237017929114886144%29
2024-09-03 08:01:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7236627002827431938
2024-08-30 09:46:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7235214848706363393
2024-08-20 13:17:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7231629592359276546
2024-08-20 07:05:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7231555939609235456
2024-08-19 10:11:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7231184926207787008
2024-08-07 07:46:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7226615336832221184
2024-08-02 11:18:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7225095718284238848
2024-08-02 05:29:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7224973157114208256
2024-08-01 12:00:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7224661537800515584
2024-07-16 14:17:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7218980709980348417
2024-07-11 19:42:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7217221123363454976
2024-06-22 09:50:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7210175787742695424
2024-06-17 18:36:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7208483535068831744
2024-06-17 18:36:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7208491217205047297
2024-06-14 18:06:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7207426180013064192
2024-06-14 09:37:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7207305812006813698
2024-06-12 03:28:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7206471741190139904
2024-06-10 17:52:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7205877304235839488
2024-06-10 09:52:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7205867543926906881
2024-06-07 04:57:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7204426044236267521
2024-06-03 07:32:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7203269166571667456
2024-05-07 17:20:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7193649865304752129
2024-05-06 17:56:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7193304213324505090
2024-05-03 17:48:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7192208389320364032
2024-05-02 09:43:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7191714833598136320
2024-05-01 20:52:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7191460793714974720
2024-04-30 18:53:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7191067677988196353
2024-04-29 20:38:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7190770140181934082
2024-04-25 14:23:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7189266682199109632
2024-04-24 16:02:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7188912139384823809
2024-04-24 14:21:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7188862971719114754
2024-04-15 12:16:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7185600973526994947
2024-04-15 09:18:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7185554765437685760
2024-04-10 10:30:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7183737652569886720
2024-04-09 17:28:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7183055807284965376
2024-04-09 12:49:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7183441832066850817
2024-04-08 14:49:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7175893999436595200
2024-04-05 10:25:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7181959340180803585
2024-04-04 08:43:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7181450830477242369
2024-04-03 19:37:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7181346456136544257
2024-04-03 16:59:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7181258975911264256
2024-04-03 14:21:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7181288643460792320
2024-04-02 09:39:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7180856562565996544
2024-03-27 09:31:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7178671809163100161
2024-03-15 08:02:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7173610958316027904?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7173610958316027904%2C7173934070760923136%29
2024-03-15 08:02:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7173610958316027904?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7173610958316027904%2C7174129624346435586%29
2024-03-15 08:02:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7173610958316027904?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7173610958316027904%2C7174153180102979584%29
2024-03-13 12:37:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7173610958316027904?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7173610958316027904%2C7173655698466099201%29
2024-03-13 11:35:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7173641455389790208
2024-03-12 16:55:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7173344068515672065
2024-03-10 10:38:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7171760023201628161
2024-03-02 10:49:13,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7169641557304688640
2024-02-15 18:26:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7163958983899168769
2024-02-14 14:52:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7163541327094165504
2024-02-13 12:05:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7163134889180000256
2024-02-09 09:25:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7161635311393968129
2024-02-08 07:36:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7161256304194318338
2024-01-24 08:31:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7152400416733831168
2024-01-22 12:26:12,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7155169241837551617
2024-01-17 17:48:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7153425306479919104
2024-01-14 11:50:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7152255023756775424
2024-01-02 20:48:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7148046248153870336
2024-01-01 19:34:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7147669622564065281
2024-01-01 12:38:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7147217837491646465
2023-12-31 19:56:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7147267954613690368
2023-12-22 15:18:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7143971199545475072
2023-12-22 11:14:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7143908128227553281
2023-12-22 08:16:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7143819950900600833
2023-12-19 13:35:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142861141579378688
2023-12-19 11:18:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142801051836981250
2023-12-19 09:18:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7142797443213004800
2023-12-12 21:14:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7140418146636640256
2023-12-12 16:35:06,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7140364803994218496
2023-12-07 21:38:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7138585477531541504
2023-12-07 15:15:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7138540194567266304?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7138540194567266304%2C7138545417893416960%29
2023-12-07 15:03:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7138540194567266304
2023-12-06 20:40:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7138263642491248640
2023-12-06 14:14:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7138120389188018177
2023-12-01 16:35:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7136378863718158336
2023-11-29 14:20:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7135627159833845760
2023-11-28 10:08:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7135206174668263424
2023-11-24 18:54:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7133771866346766337
2023-11-21 09:49:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7131265145187528706
2023-11-09 14:54:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7128380101892702209
2023-11-09 05:44:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7128048720041979905
2023-11-09 05:30:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7128118759797493761
2023-11-08 10:30:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7127942840583622656
2023-11-06 10:46:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7127218907135774720
2023-10-28 16:30:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7124054206960791552
2023-10-21 08:03:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7121108755743735808
2023-10-19 15:11:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7120763534820421633
2023-10-18 20:28:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7120504562150473728
2023-10-18 15:45:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7120408187270254592
2023-10-16 15:26:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7119704228037627906
2023-10-15 20:57:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7112876962871746560%2C7112876964763365376%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7112876962871746560%2C7112876964763365376%29%2C7119426094130163712%29
2023-10-14 11:58:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7112509514091827200%2C7112509515568185344%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7112509514091827200%2C7112509515568185344%29%2C7118928126390218753%29
2023-10-13 18:17:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7118522090869178368
2023-10-11 16:59:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7117914227113107456
2023-10-10 09:45:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7112511451872858113%2C7112511453693186048%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7112511451872858113%2C7112511453693186048%29%2C7116379577072943104%29
2023-10-09 14:41:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7117151229943627776
2023-10-08 19:20:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7116863693132296192
2023-10-08 13:07:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7116754484126470144
2023-10-08 13:06:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7113595033202663424%2C7113595035064897536%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7113595033202663424%2C7113595035064897536%29%2C7116769705314373632%29
2023-10-08 12:24:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7113592218627489792%2C7113592220682735616%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7113592218627489792%2C7113592220682735616%29%2C7116759828961587200%29
2023-10-08 10:22:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7111040793330520065%2C7111040794966335489%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7111040793330520065%2C7111040794966335489%29%2C7116729650776551424%29
2023-10-08 09:40:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7113336865541296128%2C7113336867038662656%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7113336865541296128%2C7113336867038662656%29%2C7116718695183208449%29
2023-10-08 09:22:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7111031140584439808%2C7111031142664839169%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7111031140584439808%2C7111031142664839169%29%2C7116714428133171200%29
